epoch_ms,wallet_label,mint,buy_count,hold_duration_ms,wallet_token_amount,wallet_lamports_spent,wallet_lamports_received,wallet_pnl_sol,our_lamports_spent,our_lamports_received,our_pnl_sol
1784567393989,theo,EvvorYMn5uzjUTVsh5BCFdiRjHrkpjf3dxc8DHjupump,1,68636,31819394910665,3033079079,3923738869,0.89066,3885552679.568558,2343094127,-1.542459
1784574464290,theo,EbeSQJCJz8eLgq4CeVP9MEHBNhMo65WZMZsWFSTXpump,1,4449,5830723180285,263605000,3851805288,3.5882,300762177.235413,3935973475,3.635211
1784585892495,theo,FSzraUkWwqPXPfpwLbRnao1frYfDcnfzDNDzU2kppump,2,14125,10910913579634,527210000,3924507807,3.397298,403292294.174595,2859771229,2.456479
1784590308690,theo,DBpPHJLYsQvTumBJW5GHAFEZnS1DaZKAxVjdMm6Xpump,2,49191,7196759035333,527210000,2412506366,1.885296,576079536.70546,2410924222,1.834845
1784592536286,theo,HsDeGca4ZH1g9VLQzENhgrTQzHweTLW5CMN1m4dRpump,1,5991,7020353237194,263605000,3477868955,3.214264,289780059.144028,4260854512,3.971074
1784594969024,theo,7LNFxV9r1MAkDN741UfWPiSKJ1iXoWq3HG3Ap2gZpump,4,922213,80793316095422,3823894079,2106816146,-1.717078,4553074517.887505,1883890636,-2.669184
1784608464749,Zuki,C5V33LoH9eP3LhWxuRVZQfdBFPvjfYWxwH6uYgDVpump,2,64451,4181843294957,244410000,3572661793,3.328252,300025602.413002,4212368332,3.912343
1784609520889,theo,2NApmvbGkLge9DZAuc5H4WtzPYVxYLxV49cgKatYpump,2,46230,9561370148255,527210000,1906760025,1.37955,487611181.331863,1548270119,1.060659
1784609956484,Zuki,7MgAkQYgxxHBmvT5vex3sEYVjwcTaKU4EmFP9cV1pump,3,33682,24371249928720,1331101840,1024435904,-0.306666,1338108844.428356,677664095,-0.660445
1784610112868,Zuki,GEB7vFdtYQSqVzA86xrdrbrt28DU9wAuXd2CXJYbpump,5,27897,18533494203062,1862120230,1089426690,-0.772694,2004542564.373421,834177406,-1.170365
1784611272289,theo,H3875Tg3g8cFr1GT3b1kvfoP59TKdvwYHgnCprnmpump,2,40557,13786507564411,527210000,3962111242,3.434901,579415041.691498,3145412390,2.565997
1784612570401,theo,53zDNXw8myfvSTT5QkkRTmK4kc1KmchdyH8UkZBpump,3,15108,14543969578370,790815000,4491324921,3.70051,614336087.382721,4082051635,3.467716
1784613103081,Zuki,s5xTySLnCXNcs4CC8965b3vwgAZjKhs3pz12e8Wpump,3,107005,30544772209056,3616277472,1426944842,-2.189333,4244638900.457893,1435722065,-2.808917
1784613109074,Zuki,s5xTySLnCXNcs4CC8965b3vwgAZjKhs3pz12e8Wpump,1,1758,9256341765609,1004005000,9578918,-0.994426,840415641.631203,8348174,-0.832067
1784613137710,Doji,s5xTySLnCXNcs4CC8965b3vwgAZjKhs3pz12e8Wpump,1,143485,12587437444745,1371279080,1668951639,0.297673,2003424758.580521,1370835983,-0.632589
1784613462085,Zuki,6dJTX6tbeLS21tDzwwaVDxhyhHtgxQEGymANfp2Qpump,2,88174,1623201834749,243901541,1446386134,1.202485,248694541.931793,1208925545,0.960231
1784613792283,Doji,6dJTX6tbeLS21tDzwwaVDxhyhHtgxQEGymANfp2Qpump,4,564100,29393113311455,3461513892,472786698,-2.988727,3503152316.702858,450188608,-3.052964
1784614080943,Doji,waSphrRR19kdRoMbTKHxsJVFasaHZcrfSpjEHzVpump,2,304992,19516745844439,1877503442,1129030636,-0.748473,2780538928.411308,1215727952,-1.564811
1784614275890,Doji,A4QiRrj8fnzWMkq5jHhan83YybtuECz5DEdTUR4spump,1,11068,6602106487077,506821578,711817937,0.204996,709542618.732422,721958422,0.012416
1784614291712,Doji,4wiecK51AKVBKtEaSqLT2L7oRS3BspBfZx3pri8Spump,2,272235,21226124402999,1588601238,1373761308,-0.21484,1625179249.394798,1283483273,-0.341696
1784614438928,Zuki,B6KHASKVwoepvmGd6PGGx8PWtcUQB7E7Wtbc47DTpump,1,25226,14984963652475,1767873529,1789284016,0.02141,2032529201.071831,2315023480,0.282494
1784614505268,Zuki,4xMrz4DKxevNm3Dh24vEiSbPxHTsSrVxf6dY1ED5pump,4,55128,26657391094167,2297662126,1424457423,-0.873205,4232660319.14122,1063202896,-3.169457
1784614586041,Zuki,4xMrz4DKxevNm3Dh24vEiSbPxHTsSrVxf6dY1ED5pump,5,60770,2631405933658,493825000,2949125698,2.455301,412245690.282135,2969131803,2.556886
1784614817613,Doji,4xMrz4DKxevNm3Dh24vEiSbPxHTsSrVxf6dY1ED5pump,4,325005,21098018971061,3886338332,1411117551,-2.475221,4200966061.12709,1636885757,-2.56408
1784614821833,Doji,B6KHASKVwoepvmGd6PGGx8PWtcUQB7E7Wtbc47DTpump,1,450192,5117880298493,465669844,336021921,-0.129648,677105511.259506,336300242,-0.340805
1784615121368,Zuki,5qzP3Wb9w6HEVz8czoCPCxLvFnx7mpNWPH5uQyXRpump,1,13569,24608508200283,1969202566,424006964,-1.545196,1512897604.727127,348841152,-1.164056
1784615340319,Zuki,B1DAunpyxTidi35fw93xk4TVB4aUWSZ3FjX9QkgHpump,3,68689,34023530202405,1454320060,1322230921,-0.132089,1965937003.43367,1397638815,-0.568298
1784616192286,Zuki,7BSEoCQAkq88rqvj9Hnt7nyFMvu6uEp2jNn7XVmSpump,4,47099,14638152091034,1399179390,1181216778,-0.217963,1582160851.454781,624368401,-0.957792
1784616450433,Zuki,81gvdMWVhCXsmnYLmcApjsfnR6WHu2X7wkCCjEuapump,6,74637,35481531558264,2786776842,2082342186,-0.704435,3149544690.89473,2312184732,-0.83736
1784616519392,Zuki,81gvdMWVhCXsmnYLmcApjsfnR6WHu2X7wkCCjEuapump,2,38726,49464096844657,3474010000,3168768978,-0.305241,4360514055.367058,2026328711,-2.334185
1784616868991,Zuki,C54842eATsYVVoNQtAoHYWhbJbdbjVpRiz2zXEuGpump,3,21872,25888278333165,1440713112,5926548377,4.485835,1774722246.789619,3618961917,1.84424
1784617103060,Zuki,CCzy3pNH65pjnwCkNXzS4kPfWM5AeMcjk5A1apGJpump,4,121742,42999297005291,2327406276,2149943038,-0.177463,2829787832.488136,1162685608,-1.667102
1784617164172,Zuki,E8EM712UuuyZB1eYDAG5fjrfkuGz8AParUR3aMBEpump,1,11437,37360529166615,2006079080,1661920102,-0.344159,1582936734.165863,1438276293,-0.14466
1784618372108,Zuki,Ab37EMYTdbDXFnwtvtJxXe1qquwz2eRx3UqsFC7npump,10,442543,15268043397655,2549280718,2230574707,-0.318706,2504627477.027634,2168947596,-0.33568
1784618597839,Zuki,CUFftYXVsPkPCtmJKJmYBokFo3NyRUb4mjz3MVtXpump,3,52225,37532344107829,1410899169,1296832528,-0.114067,1850926311.13913,1141301528,-0.709625
1784618992401,Zuki,4d17aLjiwEFPA6RxtsgQDDwPMUQ7f5Fo3JJwYutKpump,8,86276,9590035828819,741262955,1894758243,1.153495,617195620.973793,1204942388,0.587747
1784619305267,Zuki,4NvY4TjQ1LbuPVrBXjGoZEAHAak5R6ZSyYHCBvHHpump,1,1756,5411393576805,241479080,245991597,0.004513,193031293.774319,191953723,-0.001078
