epoch_ms,wallet_label,mint,buy_count,hold_duration_ms,wallet_token_amount,wallet_lamports_spent,wallet_lamports_received,wallet_pnl_sol,our_lamports_spent,our_lamports_received,our_pnl_sol,sell_signature
1785043174230,Doji,GkynoEYEqShix2ts8Lnbe9Tmy7agQjXgoUpyVHyZpump,1,1933,5924487055323,642855321,360519120,-0.282336,249557732.23114,243447498,-0.00611,3ywNjybghA2ZehGE5eK6cpzzDNbVNi3w7XN7B9rssYTg3oNxhfzT2kKZXDtEaEKuzLpwTrQyyLChpuBe78JusK1D
1785043182745,Doji,FLvEPaLo8gwDgmyC2KPHjQLHC8kwRbsXQJr1VuDvpump,1,1943,10802359844385,748712445,798532259,0.04982,723938352.294754,703504718,-0.020434,5VDfJSuMRpQ1oNhGTFqN9P28A6vg7voAbdpv4fWzzm35rtRDSb518Q5QBZYbm5TkFzMD9A6oDFJKkj53VGm2inXr
1785043184676,Doji,GkynoEYEqShix2ts8Lnbe9Tmy7agQjXgoUpyVHyZpump,2,8499,14893103530623,1183329297,1748087195,0.564758,620379783.26754,586339373,-0.03404,bg5oiJSFawcF86w8zk5qniPMYNS2PQ87QUnssyN1bn9k529cX2UNvkufHB8ynFedX336yvty9EW2eN3guztFCTN
1785043250061,Cope,61Y15bMKvxzuaiHmMGa6CJ5zzbzg36o3Affyk6Rapump,1,1931,24653948466639,1266079079,715266182,-0.550813,705509839.766747,673817514,-0.031692,4GMAGRBfi36sVJzTh7Jh5BD9cogMq1C11xQUQzEbyQSe5jXFnAMm9LQdpkmyPM4TAPbqwuJmZhbBzjXWgWe1jacD
1785043275318,Doji,GHJK4QBGu5usxpVSxpSGZpoc1MMEEMkwxMcRSrbPpump,1,1934,8231701192264,470945227,297763184,-0.173182,302819411.306587,297559352,-0.00526,Z5Qc5ZJkhFZyVoQTe7jt4JiXsdeZPqVUJqpAKzZ8NTaNY5dnhS8Zb6PMGdBnHZz7rvnDpH8i2QF95vs35LjZfAm
1785043966861,Doji,DX39f7cpSRNTd7u4cNqaQPjRyHS3kXCfUL3TbKjbpump,1,14154,4492971201339,708496233,706432701,-0.002064,497265930.541183,591792118,0.094526,3k3xteA33iTyFLms1mmpLAeS8JjaQtt5MVFCqzT3Djt5EXCyT8RpS1peUjuvLQZaTVV9e6rCSQQA7yuNNVFVS9m8
1785044103823,theo,6zeFbgoK5nHDGdbtp5apAfak1gJSrmDUsD5js5tEpump,3,72400,10293788135323,790815000,1781262832,0.990448,642144980.243668,1662036315,1.019891,4r4d523QRnzRkST1gAhA4LZoJVz5gXsv1nq5MvYeDUyqSaU46RYn2M4idYoNbx8vD3SXGTajNzy9UjMvFcxVa85P
1785047844742,Doji,AJLXiyfHVWnq2u5CfMnmxspbp3eK4hnfukC5qCMppump,1,1600490,3209076891019,436185445,1527163895,1.090978,410651931.515106,1651485378,1.240833,3xZK75zqeqnfeaWm9vhdLKXxC77SDCtvESwgFG54hwyuoaHcUTk2aVVUh2k3dysF71KCfSjVjjYbnew6K5rqScex
1785054656794,Cope,F4X5rr6YGHusg5T2cXEd56ovHFhVD2JQwChLPbvTpump,2,64289,30603944791093,1945224897,1354867263,-0.590358,1844168236.421898,1551986973,-0.292181,zokjyoyf2RX3ZzkXyZaxP6AkYFRRrB4WH162Xu2CgVdV4CGsvQomhrmABQazZZtDJmXYmdjhSUc49sbWpTyVDED
1785056204497,Felix,EUhZMzAw2zppce9np8jLuUnpRJHuuZwhK2b48vujd8jt,1,45827,32712255189226,2004079080,993896815,-1.010182,1798157655.708031,891261386,-0.906896,23UsWzVsDRhKiy63ZzGdnV1j5DVDAg43JinEixEST32xiFbyw2En2VXCb7jDaG1GfYwLdAqyLJpFqwgdb7HbXkaw
1785056288037,Felix,5p4bs7DDwihkSLDs4ctFJaxqdknULS1CUwo2Jfbbpump,1,9004,28759852477171,2004079080,1204249344,-0.79983,916447791.622215,837906810,-0.078541,9P26jDqmzvpsXbLmz4HWCgLDKEXZXXs52bYwZ7km4io1NfA5btT1ht41YSgWZc24GZ4cEad24Bqd9WTyqAzMr4f
1785058933111,Felix,FWC54DmRVTr2hLbgQKS1eok31RLcQJBS3HJV2Tenpump,4,7358,10939120071579,410094080,300078169,-0.110016,328220241.511147,323938114,-0.004282,u5tH4VuCmqbkUEiaUUWEsSbpEjVn6t4JxGGUBeef2anL6uNaSwRH4iGKB2Jz1ZyF7zW7ingSZcFkKJSqRRySB6T
1785059819895,Felix,J5Q8gFnpgrwhunUz1ygymS77kiCsgM1ULobDjYBHLZ23,8,18794,19528485028278,818114080,677026045,-0.141088,559709709.253639,550503440,-0.009206,47KgNjyfVLkcg5QXRju2YrirHEXgGHNuCJFurWbAWWbaFiWpQ3petNxphquxhyTXaE7mJf7cAZ1ChUx6BYuv3tJa
1785061568160,Felix,4Ne3JQKPgEbZMU4GBobkAkmTZcEhCf2xVc321bjevdFR,1,13994,25200885907667,2004079081,1285868472,-0.718211,1651621252.058922,1071238093,-0.580383,3EAjUpmpDRQV9d5zHsKoBNLVqc6Y8PjH8KQ9PhyPxCCfbc46kTuMgZ7T8LRTcKMznBUssMSwQimKLodW4L4FLBp6
1785068335101,Felix,3jELHUCxnuis8Z7VF5najBQ3CsEEf16ouagzz8dvpump,2,40939,2272136186505,204010000,1478739507,1.27473,189637846.00988,1540459425,1.350822,ZHt1HERfVwRaSz2TrWY4xzSQmR5nGhn8UWJfvXisDiiJQATedHh2P4J4SjbAfSpVaWucwxBCT3FiJvyHGmNdUzX
1785073013515,Cope,7SvZS1nR38kgRbQvxUNBRz5w6e8i4S2p73A68P1cpump,1,34573,850599592130,52576018,930905219,0.878329,40220884.987358,845225876,0.805005,4EhHmv6Eo8vzbYjeTqp2FLH3n91jqiNHYD57u464iZt9X9paCVhoVfHggLMhb95paD3BL4dtUdXtqKXu6Fhi6pTq
1785075306834,Cope,Eds1qn9QeZThB43xZXoiciTthy26DyULNNFcmuLvDSDj,1,1331690,16841244214354,1266223313,3471398220,2.205175,1091961632.184441,2910634111,1.818672,5YMi55nJxEeahmNJbLSVVz5ofddi1XBJaC7HBpD1UnBPDEQ3kggPEzNccc262AenZtwJNAXL4qkTg2cnhehymU84
1785078170191,Cope,HFc1bM9ngPkhm3Y6wK7LD873tniwgEDdXzLyXy1bpump,6,619831,26051005355553,2981497490,887257376,-2.09424,2644186618.132904,1212233896,-1.431953,5CPJyYDFTLHGD1XqqcF9dyUjXiEeSiRP5yjyjnoygQ8T1kgo4jGtMxzdFMamGrD1tHAEMLDdbnSdQXdbsNtKuRhx
