epoch_ms,wallet_label,mint,buy_count,hold_duration_ms,wallet_token_amount,wallet_lamports_spent,wallet_lamports_received,wallet_pnl_sol,our_lamports_spent,our_lamports_received,our_pnl_sol,sell_signature,would_have_reverted,sell_would_have_reverted,entry_virtual_sol_reserves,entry_virtual_token_reserves,entry_real_sol_reserves,entry_real_token_reserves,entry_token_total_supply,entry_our_cost_lamports,entry_top10_holder_pct,incomplete_position,entry_on_chain_age_ms,sell_on_chain_age_ms,entry_signature,entry_block_time_ms,sell_block_time_ms,bonding_curve,collector_version,fill_ratio,blowup
1785960737382,Cope,2WqVTVEqodvQhMKmSsv6J6yupWS6yeor1T2CseLipump,1,1817,1026635923340,52165107,1058325253,1.00616,28731988.740425,675092059,0.64636,5DGMUYMkxiNwm9k1S557HWey2RrxqrdrjjZmXfEDAresEMJtMSU8E4TYNanLXNFe29DVaosm5GD6NnjMZ7efdss5,0,1,30000413263.0,1072985220102693.0,413263.0,793085220102693.0,1000000000000000.0,28731988.740425,-1.0,1,,,,,,,3,0.5507894144724941,False
1785960751395,Boomer,E1MPg6Jy2H4jdZgngZf8sX3UapzcqQdHRb1C5Pwgkt8W,1,2004,22906157185879,1031594283,1029967951,-0.001626,731076840.596508,698832540,-0.032244,GmeW5t55VQDgHCKS6GoAW38kbnWZxUcJd8bfozt6dchyM65PFCcrzdJbgrKDu4VkC8yMGjGxuWB67qZFbvLKjBw,0,1,31689339265.0,1015799032479901.0,1689339265.0,735899032479901.0,1000000000000000.0,731076840.596508,-1.0,0,,,,,,,3,0.7086864018579561,False
1785960756867,Dani,6Sb5sxWupGXELxXZvzwfc3QRLRnqedVZ9agUS7rpump,1,1813,38511635472155,5053534966,5971282832,0.917748,1118140767.06049,1040615092,-0.077526,3HGwRC73NEBU8dAvzgkgeT6sYV3iu33yKmEcxLHa8y29N8iGVJAL2Z5kGg13Y1zkS65nGTt1CeU5srd2nFteR7nH,0,1,30017259746.0,1072383039919753.0,17259746.0,792483039919753.0,1000000000000000.0,1118140767.06049,-1.0,0,,,,,,,3,0.22125913337560746,True
1785960772652,KOREAN,FNsnq6ThCfrZKf83jgeo2t6tQcEuvBYzj8ekNNDYpump,1,1812,20762338857682,1485631630,348453004,-1.137179,602500353.574505,146967718,-0.455533,5j99ei9HcTHx7tMLxfxSJzbHY4wnd8Y6vAj2QMvRLQ997id7PdtTVjBJhCWjVisXSmiVUSMQGsSdQTUjVcwvFDi8,0,0,30263587963.0,1063654454371390.0,263587963.0,783754454371390.0,1000000000000000.0,602500353.574505,-1.0,0,,,,,,,3,0.40555164645660174,False
1785960777631,KOREAN,Dcig9PPrhirAL9ZrfBoLch7W4axJXDmzHGLT4di6pump,1,1810,21540591562711,1450947051,1336313833,-0.114633,689529666.556656,660833037,-0.028697,5r3AWh82cGYzgJdi5aELRsouJ7xW8F6r3esXkLfk12v42zJbDh6TQBSY9SQJEuwFBLjmX6Wij8kawrBzUyeHEvXR,0,0,31757317283.0,1013624665532453.0,1757317283.0,733724665532453.0,1000000000000000.0,689529666.556656,-1.0,0,,,,,,,3,0.47522731176263716,False
1785960797163,KOREAN,FCUzqWzcJ916kGNPaZKgJ6QVYTkLwYD5KDgryXcfpump,1,5429,24236035440424,2310562563,1175209409,-1.135353,3342244788.175644,778377187,-2.563868,3MWB2PtiDFECaS4LfdnYXhKviWTdrtb7wJLKQrwjuKzr5WWDVyBZWBDdfbLHQWmXRTiPXkqsahJc2pg8LeGod927,1,0,64976612038.0,495409026037332.0,34976612038.0,215509026037332.0,1000000000000000.0,3342244788.175644,-1.0,0,,,,,,,3,1.4465069423768915,False
1785960956972,KOREAN,wxe1u1kBgQSb9Jr1XtkUtv5a7Zy5LUtUFkDGA9jpump,1,1814,11479687495372,1414339049,1227167609,-0.187171,886791902.820351,873315178,-0.013477,2uUKjfwgvHAQvQq8QiLTTXkKKZFVjeUTfr2YYELJFiM7WvvWco7TvXvP7JifhDmbCji6VDyYNxjJkwopfZT5AmXd,0,0,49424780008.0,651292734067914.0,19424780008.0,371392734067914.0,1000000000000000.0,886791902.820351,-1.0,0,,,,,,,3,0.6270009326599247,False
1785961330282,KOREAN,6NeMwCcAvd6fu8FodxDvegnDh8qDTNfticSU9eEqpump,2,23707,4146368966589,444284082,307644812,-0.136639,398850894.348976,331012086,-0.067839,5uARMQpgqjvKd35kFmYRa4Nk1kTTkui6Mcui5qBbrrDGJkFTJA7fe8Jypcf49D3mY9tmRcnbcTXsFkuJbTLGatiM,0,0,58741062697.0,547998258223405.0,28741062697.0,268098258223405.0,1000000000000000.0,203168273.371719,-1.0,0,,,,,,,3,0.8977384302257672,False
1785961387298,KOREAN,33kMVRqpAjzmZtQUqQpxDd379Nq6Qs9oQBy3G1NDpump,2,3574,3116170771744,251656733,348103525,0.096447,158788051.220345,373206050,0.214418,4h5wTwunCPxWVsu41C4iChjqJJJaNh65u9HgSyG9Dyz43LBXGjupYChzKkD1wyGrKTRTAF4j1iNznvf6EPcvTact,0,0,41335227103.0,778754645002890.0,11335227103.0,498854645002890.0,1000000000000000.0,85888014.840416,-1.0,0,,,,,,,3,0.6309708042675138,False
1785961745720,KOREAN,7QByPRBfxfxhT7ToZCFh3N8YLUtP5rjE77ReqcGNpump,2,27717,18321733233096,1670733796,1467012217,-0.203722,1475260196.194878,685898053,-0.789362,31RZkp7NDjPLg9SPzD3S8BctJymi2fi9UaoJcpzNyWEj1kmbj3i3oF4FKMsV7ze5kRcqRBjvb4BTcTawM6KaE3Ad,0,0,51136443386.0,629492352731540.0,21136443386.0,349592352731540.0,1000000000000000.0,1428789847.568253,-1.0,0,,,,,,,3,0.8830013493034519,False
1785961826660,KOREAN,8XzkAHYhTcediUZHQzxqPmKpLCDTA4WonWpXPRjopump,1,1811,18769309342907,1421925032,1330100867,-0.091824,743720614.029793,707903228,-0.035817,2bnYJTRK6zn9sHr8kQbnuknbmBf7B539SaswDJEdCAeFbci9kav5FUzEd47dc3ubpX7RmKYjGmU6eDTRiKp9CxCo,0,0,35344302372.0,910754998881339.0,5344302372.0,630854998881339.0,1000000000000000.0,743720614.029793,-1.0,0,,,,,,,3,0.5230378517098875,False
