wallet_label,mint,epoch_ms,entry_signature,wallet_pnl_sol,lagged_pnl_sol,raw_cost_lamports,raw_proceeds_lamports,wallet_cost_lamports,our_cost_lamports,our_proceeds_lamports,same_block_pnl_sol,fill_ratio
Kadenox,CiWphjtefDXBfXE5Rfa1bmch7d2LZhkKsLiV8KySpump,1789057613806,nyDc72yoTWgtNtw8yhVZh4doNwGzQpg4aLTjcp5qHoRVTxDvgk49rMcQpvfuEToxkzCjLRmDLNnaQuEX12Ut9WE,-3.269661,-6.740475,6999999999.999985,5339302050.317848,5073103881.0,7164499999.999985,5213828452.135379,-1.950671547864606,1.4122517827464107
Sheep,GbYndj7VL6tZ54q1U5ZBVp2AhXVQedeRfRaMU2tvpump,1789049903343,2ytWm3S5we5Ge4wP7Rjfi9NEYTvdPrGKKNs9yRYSnkVLEK2rHRtTA2QRs5Bfq4hAD821e8TNZZhWyTjSGudPVMo8,1.372862,-0.5,3666666666.666641,3602355535.18425,3048173544.0,3752833333.3333077,3517700180.10742,-0.23513315322588776,1.2311744325451397
Dani,Byr2jPqk5ip8iroCjGvs2QywcYtY37vEvZs2vKjQayA3,1788999697248,2BqXnF9WTJ5NouE1oV89dscQR86uTs5Uy23JgzWcfmKmNBXJujB5W2PLL9H2CxCH89svTJirfp9AQT3ZKsfhL1Fj,1.288022,1.229116,4667572222.249924,4557142971.909592,4043071079.0,4777260169.472797,4450050112.069716,-0.32721005740308096,1.1815919325005757
Kadenox,8fuBJRynqHTGxVHQwif7E16TzDjYWW3FVCxDF6GCpump,1788996721553,5LUzNUyLne2DF8bYDtDbtYL7GPeZtEYnPPDTTYAk3Xx5sJ2fQLeMXP6366wdmAjP17QUyNRPxHMmsQbusSRe4cPX,-3.142112,-4.671653,6999999999.999985,4384907335.769909,5108198876.0,7164499999.999985,4281862013.3793163,-2.8826379866206686,1.4025491516513118
Dani,4QeAoRjCCzzYfQGqPE1GE5Rwpoqt5QHfpfgUqwLDpump,1788981761402,sbU4CSguUGyirEDg6sWWR74bwwXzvHotgKR9M1NX62oQr2iAE4mMb46AzASyVFG3ZUpvZuA3cyeGHVJzdUS76eD,1.038989,-0.521828,3611230647.838646,3371172461.2068596,3033077391.0,3696094568.0628543,3291949908.3684983,-0.404144659694356,1.2185955356860376
Dani,DAqZZvkxcWaR17cWvXoA7n3wKTuDPhUZWQEi6Chhpump,1788972807791,aWe8effJ6W8sCrKdcYUSbzQSWp8jDKRQXRkgwvs4YzEdQ1U8cupJVpDm72VcFzHPCSrAajCgBeytePWDFNjxMV8,-0.095366,-0.083541,98946772.6823883,102620006.60101318,104147901.0,101272021.84042443,100208436.44588938,-0.0010635853945350497,0.9723865855004071
Kadenox,6NwA7EAjVW1XoHj62964dH3Lh1qHtpSEeyhnWbHSpump,1788969951141,39RN75ghM1aihnwkV4ziG3rtWSozzzuiG4hZKxcZCeEVHSM319wkN93z56t5cdFusyHTKDxynj5WqVdakpbeyvPC,-1.701084,-2.943528,3949759638.1637573,3733553600.166794,3664060339.0,4042578989.660606,3645815090.5628743,-0.3967638990977316,1.103305790745769
Dani,fUtMwofMCjBvbYhJEk11eHTdqXbpc9mLFPEYS7zpump,1788895651386,29ahKASxVQh7L6kP9MHCP7vtUv2tmW1doYuWrTU1NZ8Q2qD4A5dgbddjbdEPRWNkiJpELRmbVfMWaMiCN9rMY9ar,-1.216777,-1.883424,3279125524.154854,1721283433.5723572,3033842663.0,3356184973.972493,1680833272.8834069,-1.6753517010890864,1.1062488555862506
Dani,DdfK8Xdw7FseRdiPARkt6bECh6SDbEK4HpCFVwDBpump,1788888739221,3huE4JsqYeCkUVPBQWrZyndVKbBTz6ppkSizME9fmHx5JEXgXVxvRzfhJKNu9P6q8PwqW5EL11KuFtoNXVUFfWhs,0.748045,-1.22697,6778383843.493576,4406283204.162323,5053265317.0,6937675863.815676,4302735548.864509,-2.634940314951167,1.3729094810193747
theo,HJPjdsDmcvgCj4MV3NvqCWd78qDP8BMzGfrsk4Nbpump,1788880186249,5nyWP24TE3gvCytDhjBgSGEZk7jBez4E4aLZjXGQ6PjDzFkN4jvpZBMt8V8TxGQNSLWrjQWGpWN3JUkYiWkUmFuN,3.769981,3.438209,259913277.73001862,332599791.46720886,263605000.0,266021239.75667408,324783696.3677295,0.058762456611055405,1.009166137807227
