wallet_label,mint,epoch_ms,entry_signature,wallet_pnl_sol,lagged_pnl_sol,raw_cost_lamports,raw_proceeds_lamports,wallet_cost_lamports,buy_vs,sell_vs,our_cost_lamports,our_proceeds_lamports,same_block_pnl_sol,fill_ratio
Sheep,xtUsJqG12ZNuEX75jCd5GnCtUKmAKyJjEhKhznfZuHR,1790171733333,5datPawuLzgXyE5ALRFkmCpWiD4iwnGvbPd8uPvFyAUz8C7TeZzxL5gbhRChsqi4cNibxHtMS5cVf8LbrJDfssxM,1.486614,-0.5,3666666666.666641,3705229699.239704,3078210605.0,33000000000.0,36869153550.0,3737433333.3333077,3633718766.044378,-0.10371456728892994,1.2141577731109492
Sheep,4vWLSaMkNWJCqiZgWnW9MeEmbYcjfjhjq2gpJWQyqTov,1790171727725,4vFvpi1J7S2mVjB1EFXfyhweEx9scoEMHogx6Y4JzASq3jXPkp6LvrQ5MQZPQafvBzaqx4x1gKZhQrSvE5ytuvDC,0.209349,-0.52275,3666666666.666641,2735508090.2675896,3046469600.0,33000000000.0,31444130506.0,3737433333.3333077,2682712784.1254253,-1.0547205492078824,1.2268080184792614
theo,3s1eoMewTLQPLLdgqoPSjugmxWfqyqpYx2roPjxzL3xN,1790143164038,2RDyV8HqxL9vxWPsvpnhgdQefQ37w5coZXm5ChkioV6NVfmPSYiLyHwKEfoPy1WyC9MtK5HuHV7sMXNeCic5HShG,2.27443,1.6746,260358600.50691986,226754376.01402283,263605000.0,37471161257.0,35204306334.0,265383521.49670345,222378016.55695218,-0.04300550493975127,1.0067469186726483
theo,DGQhYCWy9PD9BxbjZJSdSZhHsUeoNrYZeZBrT4zW8dQn,1790142359839,2ynnjee5LEBQ33WUHaqGpnQZr99W5yerdFHYCaidQJyNUwtyfsziM2tGCimQbxQ8nCwiQtoazp3fi7Z3wuuZqbdW,1.274692,1.714558,259813764.57658386,200133587.93571472,263605000.0,44130618360.0,38945954162.0,264828170.23291194,196271009.68855542,-0.06855716054435652,1.0046401632477076
Dani,94grscgCfEVzecGthjg7y4r58V2rr4NUYmfqKTnTpump,1790112932744,7L8oKz2FuHqUYsnbn64NJtjnzwy9R2pAMGE8wR4JJKLqn9zeTgg5e6FyhvyYAasQ69r8iuuLpFmz2Pck3PzS2Cm,2.752455,-1.258476,6875205782.062141,5665473724.902401,5161518839.0,35057085414.0,37752489693.0,7007897253.655941,5556130082.011785,-1.4517671716441565,1.3577199797673627
Dani,APXa3MjK3s7T6toVCvodSx1wiDs37TMWaVLrdWs1dxdr,1790112764009,3xE4hkawCz4EjEkiU7mSJhTsbzeebebSGn31MCCE9DeXmBwfYvxevdu7Gtz5Tk5DUVRA66BGwVuk9HrGGLiosvqV,0.767582,0.290536,5701074762.306549,5141410077.097275,5052834791.0,73815781337.0,75371796939.0,5811105505.219066,5042180862.609298,-0.7689246426097679,1.1500683765813362
Sheep,93C2fjLFapy5RmH48aNsUSowZ5hJsS4Q9wX3DuK5AJUK,1790107174687,6La3ETqb6nAmZqKFNqmdwh5SLvZnXvE8aAPQs5SgHptaSbkBXFBGsjf2uHUnR9MtXwzq29QpTHHoVpNPSZNiZsx,0.539585,-0.51072,3666666666.666641,2984814901.518551,3046484840.0,33000000000.0,32912404230.0,3737433333.3333077,2927207973.919243,-0.8102253594140649,1.2268018813884227
Sheep,2K4ntwDUz3XHGLsQ7F44uSoLbg5EhbLTo9HapapnLgkj,1790104398822,4Nx5YUwGtynt6zrpUnAEfTPfpa6tkcAYG3Uq4tN4oF3u5MxcL6qoMhpeGUNdZbigbF1Wq4uBEm7q1HgnQQaP4H5e,1.314539,-0.500926,3666666666.666641,3557329967.1918297,3046454360.0,33000000000.0,36087301481.0,3737433333.3333077,3488673498.8250275,-0.24875983450828026,1.226814155631502
Sheep,87HKeeSGjSrfNzQTLfs1nnxdu2X5hjFZsTaeCDBqBzcg,1790103542502,5BodChR4Z3qNgVTL1FqvoFNjokwZEe95cCoBCUyDe9WpYYBjD1VhBKmq51e7WvCDiT298LJQiUH9Uf8LtfnxEu5x,-0.004203,-0.5,3666666666.666641,2572419068.383869,3046418800.0,33000000000.0,30450444954.0,3737433333.3333077,2522771380.3640604,-1.2146619529692473,1.226828475892188
Sheep,HVare6GZJGhzpTBnM4vGdTU9bdxk5kVeNmCsffj82MvZ,1790103534749,s1CFvFdgfjMhWPBCD33tJvUYGNQqQMoDEZyRpmgbTxbAbgw1gLDJ1AGwjDEdEmi65cG7ZmvDVVxkPyL1gN7dtTR,2.577769,-0.554206,3666666666.666641,4457664462.403671,3046418800.0,33000000000.0,40647538167.0,3737433333.3333077,4371631538.279281,0.6341982049459729,1.226828475892188
Sheep,ERXWavMuGq795GSQTzkf787Gym7tXzFU3Ny37GaujRys,1790069501022,4p1wGeEAnXbCdDucZk9zRENrKZqb3xYeHe4TJDsmygTkrsLepr4AAPchfRi1frnis315XdoUa7hRn66F4eWDXFyK,1.790813,-0.5,3666666666.666641,3901242636.514,3046403560.0,33000000000.0,37884101441.0,3737433333.3333077,3825948653.6292796,0.08851532029597187,1.2268346132491086
Sheep,CaLxKy2uQQSebBun6zNoiKweQp7XWHdSgWDD23DxwMEX,1790057385287,4iNi4jchZd2SscViswjVHrzCW3PVUTG58ouML9FJk1gJPwJjQwWfy7t1P7rnwZjBH16mFXFLat6DUYKGoXVeF9Qw,2.101153,-0.507507,3666666666.666641,4130457771.698456,3057812980.0,33000000000.0,39042468305.0,3737433333.3333077,4050739936.7046757,0.31330660337136795,1.222257004525276
Sheep,HQs7sPT8ZiQon8A5nXJxbhgHWkJYTs8rok1sDdKr5LyY,1790057379615,4ncLGQHJkeWSFnsaDyNvARrADWrw7NdPqtQrWg2cvyxdpqZKsUaDgt9BKh8p5Ev13NzBYiy1sDJqkdU5rx5RfGpK,1.081711,-0.549191,3666666666.666641,3395400574.2913666,3057812980.0,33000000000.0,35214328636.0,3737433333.3333077,3329869343.2075434,-0.4075639901257644,1.222257004525276
Dani,BDsJYBAeeawGETtYrobWgJ37EnEbRXavaNnWuH5npump,1790047554251,4cu6CCVtNTCggUxugajALLpn2EEuarVLRRTpN8rQgLqKrWrFUsznAKPnrWiT8T96o3JZNzUUPQwZvXt9m2xz2Z6G,1.92095,-0.997037,6642887274.810997,5253172405.810616,5056518839.0,38488888884.0,39782601227.0,6771094999.214849,5151786178.37847,-1.619308820836379,1.339082324185295
