wallet,trades,days,total_sol,excess_sol,mean_sol,median_sol,win_rate,days_positive,total_ex_top1,total_ex_top3,first_half_mean,second_half_mean,p_luck,verdict
Zuki,437,16,268.9,305.86,0.6153,0.3768,0.593,0.875,263.62,254.52,0.5071,0.7231,0.0,CONSISTENT
theo,67,15,147.18,121.07,2.1967,2.2061,0.91,1.0,140.79,130.2,1.7951,2.5865,0.0,CONSISTENT
Cented,7,4,19.87,21.29,2.8386,2.9276,1.0,1.0,14.88,8.68,3.3838,2.4297,0.0,INSUFFICIENT
Dani,8,6,12.61,12.47,1.5759,1.8465,0.75,0.833,9.74,4.44,1.6052,1.5466,0.0,INSUFFICIENT
Sebastian,3,3,2.32,3.01,0.7732,0.7076,0.667,0.667,0.25,,2.0687,0.1255,0.151,INSUFFICIENT
Pavel,6,2,1.91,1.7,0.3182,0.1791,0.833,0.5,0.76,-0.18,0.4961,0.1404,0.045,INSUFFICIENT
decu,1,1,1.33,1.57,1.3297,1.3297,1.0,1.0,,,,1.3297,,INSUFFICIENT
Pikalosi,1,1,-0.0,0.12,-0.0033,-0.0033,0.0,0.0,,,,-0.0033,,INSUFFICIENT
Boomer,19,5,-2.68,1.25,-0.1411,-0.1684,0.211,0.2,-3.32,-3.91,-0.1309,-0.1502,0.971,INSUFFICIENT
Loopierr,4,3,-5.36,-4.39,-1.3395,-0.9137,0.0,0.0,-5.08,-3.25,-0.9137,-1.7652,1.0,INSUFFICIENT
Dedmeow5,29,6,-6.42,-3.98,-0.2213,-0.1919,0.103,0.167,-7.98,-8.34,-0.0972,-0.3372,0.989,INSUFFICIENT
dov7,12,4,-7.82,-5.17,-0.6513,-0.7936,0.0,0.0,-7.72,-7.38,-0.5671,-0.7356,1.0,INSUFFICIENT
Letterbomb,21,6,-12.11,-10.58,-0.5767,-0.4705,0.238,0.167,-13.29,-15.05,-1.1174,-0.0852,0.998,INSUFFICIENT
Kadenox,64,5,-5.17,8.54,-0.0808,-0.189,0.359,0.4,-8.03,-11.11,-0.0649,-0.0967,0.787,LOSING
Felix,98,14,-17.0,-16.08,-0.1734,-0.2795,0.204,0.214,-20.87,-27.91,-0.1088,-0.2381,0.929,LOSING
Tom,40,5,-20.91,-11.33,-0.5228,-0.2838,0.175,0.0,-24.01,-26.01,-0.5363,-0.5093,0.998,LOSING
Cope,229,13,-23.28,9.83,-0.1016,-0.2915,0.336,0.462,-27.49,-34.77,0.0099,-0.2122,0.917,LOSING
Monki,189,5,-28.35,11.35,-0.15,-0.125,0.36,0.6,-31.85,-36.27,0.1888,-0.4852,0.979,LOSING
Insyder,404,5,-67.36,23.75,-0.1667,-0.2178,0.205,0.4,-69.75,-74.04,-0.0579,-0.2755,1.0,LOSING
Doji,158,16,-85.23,-63.65,-0.5394,-0.2155,0.266,0.125,-87.64,-90.86,-0.2359,-0.843,1.0,LOSING
KOREAN,583,5,-266.38,-133.58,-0.4569,-0.4264,0.214,0.0,-269.97,-275.93,-0.5558,-0.3584,1.0,LOSING
Sheep,42,10,2.08,1.95,0.0495,-0.4171,0.31,0.3,-6.12,-14.72,-0.481,0.58,0.451,UNPROVEN
